,name,Date,Divedend_yield_ratio_growth,BPS_growth,PER_growth,EPS_growth,Profit_growth,Revenue_growth,W/L
112,lotte_1,2019-06-28 0:00,20.20905923,-0.9910233079999999,57.11656442,-135.8869,-82.89,22.97,0
84,lg_10,2017-03-31 0:00,-11.9047619,0.0,10.64010174,0.0,-6.37,-5.08,1
48,gs_11,2016-12-29 0:00,1.515151515,1.302214158,-7.409925221,3.586304597,34.24,5.58,0
203,samsung_18,2015-03-31 0:00,-3.571428571,0.0,8.667736758,0.0,-50.14,-12.8,1
140,lotte_29,2012-06-29 0:00,22.4137931,1.12057887,7.811080836,-12.11907088,1496.04,12.02,0
239,SK_17,2015-06-30 0:00,-74.19354839,0.183237486,-25.62154696,1.589270444,3.82,2.3,1
60,gs_23,2013-12-30 0:00,1.796407186,1.275913348,81.11573299,-440.473992,-34.98,-1.34,0
233,SK_11,2016-12-29 0:00,-4.47761194,0.826517727,47.50712251,-82.76367757,-8.06,2.0,1
264,hhi_5,2018-06-29 0:00,18.47133758,0.49526516200000004,-12.74509804,7.167109844,41.8,16.92,0
70,gs_33,2011-06-30 0:00,9.6,-3.1942513389999996,-52.17889908,7.9245582379999995,57.07,41.71,0
201,samsung_16,2015-09-30 0:00,7.086614172999999,3.452489285,1.33234641,-22.65460756,-26.66,-7.28,0
194,samsung_9,2017-06-30 0:00,7.0,-9.229053011,-20.87067862,12.49033173,51.24,4.51,1
6,hyundai_6,2018-03-30 0:00,6.074766355,0.0,-6.913827655,0.0,-31.33,7.97,0
71,gs_34,2011-03-31 0:00,-22.12389381,0.0,18.31198191,0.0,-8.04,0.46,1
104,lg_30,2012-03-30 0:00,-14.15929204,0.0,12.44444444,0.0,-25.48,1.43,1
119,lotte_8,2017-09-29 0:00,4.597701149,3.6605252939999997,-3.5185185189999997,13.68818237,-12.98,2.37,0
65,gs_28,2012-09-28 0:00,-17.79141104,5.208550225,36.01532567,-73.8323349,-44.88,17.73,1
148,posco_0,2019-09-30 0:00,7.407407407000001,2.80816924,-20.18881627,-4.493819683,-10.46,2.19,0
178,posco_30,2012-03-30 0:00,-1.4925373130000001,0.0,1.314636284,0.0,-68.52,17.52,1
226,SK_4,2018-09-28 0:00,1.0,10.47962773,-14.85319516,16.18731436,66.92,15.36,0
275,hhi_16,2015-09-30 0:00,4.2735042739999995,3.7416546630000003,-6.596306069,5.71493059,10.94,-3.51,0
43,gs_6,2018-03-30 0:00,4.7826086960000005,0.0,-4.843918192,0.0,17.02,19.8,0
271,hhi_12,2016-09-30 0:00,-3.4013605439999997,1.962397989,-3.141762452,9.132510943,27.47,6.88,1
136,lotte_25,2013-06-28 0:00,-17.07317073,54.36028163,-9.887936717,57.46219376,-30.87,10.94,0
238,SK_16,2015-09-30 0:00,6.0606060610000005,14.80623224,-39.09702209,48.00850575,63.61,-12.84,0
234,SK_12,2016-09-30 0:00,-12.85714286,2.917957645,16.14654003,-6.318879637999999,28.04,55.43,1
175,posco_27,2012-12-28 0:00,4.2452830189999995,1.169502489,-29.26208651,18.09490007,-22.67,-6.76,0
249,SK_27,2012-12-28 0:00,-5.421686747000001,1.188482407,36.85774947,-52.65610221,-10.25,6.23,1
182,posco_34,2011-03-31 0:00,-2.419354839,0.0,2.905811623,0.0,14.71,26.84,1
126,lotte_15,2015-12-30 0:00,10.63829787,1.980481591,-4.08542247,-9.602735372,45.34,0.34,0
96,lg_22,2014-03-31 0:00,8.045977011,0.0,-7.7442827439999995,0.0,15.53,2.44,0
285,hhi_26,2013-03-29 0:00,-0.833333333,0.0,0.7434944240000001,0.0,7.73,3.86,1
132,lotte_21,2014-06-30 0:00,2.5,1.394697406,24.90823283,-20.82076761,40.99,4.35,0
144,lotte_33,2011-06-30 0:00,5.555555556,2.149276275,-25.19913106,14.49656119,61.81,15.41,1
211,samsung_26,2013-03-29 0:00,0.0,0.0,0.653061224,0.0,77.43,22.52,1
27,hyundai_27,2012-12-28 0:00,10.81081081,4.692882235,-17.9245283,5.067842689,-3.37,8.4,0
138,lotte_27,2012-12-28 0:00,1.754385965,1.412558299,7.744733581,-1.943604718,-38.88,4.86,1
93,lg_19,2014-12-30 0:00,11.45833333,2.375701775,-15.11375948,2.249898232,15.97,1.66,0
139,lotte_28,2012-09-28 0:00,-3.571428571,2.202246245,26.05775688,-48.43775303,-59.88,4.61,1
242,SK_20,2014-09-30 0:00,-6.451612902999999,0.977759151,14.29362881,-0.361831213,-23.34,-2.74,1
219,samsung_34,2011-03-31 0:00,2.298850575,0.0,-2.382908792,0.0,22.42,5.98,0
